,EV1,EV2,EV3,EV4,EV5
PI656111,0.024892898,0.024390514,-0.062325631,-0.053188985,-0.011110277
PI656112,0.045160876,-0.000413543,-0.034782061,0.026797196,-0.10001086
PI656113,0.04878237,-0.026468534,-0.024739276,0.043442007,-0.00571126
PI656114,-0.001849429,-0.023758093,0.05936077,0.014577205,-0.01973667
PI656115,0.025729356,-0.03141646,-0.026466426,0.043377451,-0.116699723
PI656116,-0.022038348,0.024645182,-0.04750984,-0.050502555,-0.00825852
PI656118,-0.082092661,0.02878808,-0.102898725,-0.01001747,-0.026645167
PI656119,0.016598931,0.003080126,-0.00999787,-0.096166087,-0.033317949
PI656120,-0.04099559,0.050269784,-0.066139991,0.013222661,-0.019869695
PI656121,-0.025978896,0.004598399,-0.043857496,-0.035810589,-0.011828013
PI152651,-0.009764939,-0.022211004,0.063192745,0.013808996,-0.053580976
PI329435,-0.023935573,0.035327666,0.114745095,0.03349878,0.033948792
PI329440,0.043979586,0.026791327,0.019219112,0.033131211,-0.000310006
PI533902,0.029106246,0.000611924,-0.014167147,0.01789532,0.07469525
PI564163,-0.002143868,0.064070179,0.126882298,0.047735312,0.034464681
PI566819,0.037975422,0.059468045,0.096409947,0.018937327,0.04541293
PI641824,0.061187697,0.005798688,0.036119227,0.009275325,0.028221961
PI653617,0.011423076,0.063140471,0.008475703,0.024641038,0.041650293
PI655978,0.016573472,-0.015681214,0.075702981,-0.093510551,-0.038228352
PI655981,0.004065244,-0.033534801,0.054784074,-0.11266024,-0.004738447
PI656015,-0.025702928,-0.039653458,0.02806511,-0.011472536,-0.107666395
PI533752,-0.028386868,0.045814568,-0.045336123,0.012399809,0.012178403
PI533759,-0.040747717,0.041423201,-0.005277284,0.015649938,-0.000941576
PI533839,0.027329685,-0.038974955,-0.036873327,-0.14183477,0.198528154
PI533845,0.046588087,0.013316729,-0.059253369,-0.045586921,0.034388024
PI533863,-0.007535413,0.015657436,0.006442142,-0.035501434,-0.018508412
PI533937,0.111432287,0.074834182,-0.016691697,0.016835372,-0.002874473
PI533954,0.071178661,0.030886203,-0.04050385,-0.043964175,0.034173385
PI533964,-0.076891376,0.041231131,-0.037623628,0.006276802,0.019815598
