Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
3	SORBI_3003G180300	DG_16_0_,PC_38_3_,TG_24_0_,TG_28_0_,TG_56_5_	46,37,60,44,29	SNP_47189445,SNP_47190125,SNP_47189445,SNP_47189445,SNP_47190381	1.387308e-49,8.126775e-08,6.671802e-42,9.062677e-29,7.561441e-08	5
4	SORBI_3004G157800	FA_22_0__amide,MGDG_36_4_,MGDG_36_5_,PC_32_3_,PC_35_3_	17,57,21,47,30	SNP_50036409,SNP_50036155,SNP_50036486,SNP_50036770,SNP_50036541	5.048536e-21,5.360382e-09,2.680687e-08,3.109439e-09,7.503097e-09	5
5	SORBI_3005G061801	FA_22_1_,TG_50_3_,TG_52_6_,TG_56_4_,TG_56_5_	15,14,13,9,12	SNP_6710742,SNP_6722766,SNP_6710742,SNP_6710958,SNP_6710742	9.433714e-08,8.197256e-08,5.129752e-09,1.103582e-10,3.001993e-19	5
5	SORBI_3005G061900	FA_22_1_,TG_50_3_,TG_52_6_,TG_56_4_,TG_56_5_	43,25,23,8,24	SNP_6716903,SNP_6722766,SNP_6716903,SNP_6732758,SNP_6716903	9.433714e-08,8.197256e-08,5.129752e-09,1.103582e-10,3.001993e-19	5
5	SORBI_3005G111100	PG_16_0_,TG_46_3_,TG_48_4_,TG_48_5_,TG_56_1_	8,22,28,17,45	SNP_35832156,SNP_35825758,SNP_35826318,SNP_35825758,SNP_35825939	1.267596e-10,4.139663e-47,1.13563e-85,9.13094e-32,1.455881e-08	5
5	SORBI_3005G141000	TG_54_4_,TG_54_5_,TG_54_6_,TG_54_7_,TG_54_8_	105,145,162,159,96	SNP_59798322,SNP_59798322,SNP_59798322,SNP_59798322,SNP_59798322	4.585399e-09,2.839442e-09,2.399495e-08,5.255365e-09,2.85729e-09	5
6	SORBI_3006G151600	LPC_16_0_,LPE_16_0_,PC_18_2_,PE_16_0_,PE_18_2_	9,5,33,5,45	SNP_51232527,SNP_51245116,SNP_51224256,SNP_51245116,SNP_51224256	2.970528e-08,8.907365e-08,4.605024e-09,8.907365e-08,2.881483e-09	5
6	SORBI_3006G151800	LPC_16_0_,LPE_16_0_,PC_18_2_,PE_16_0_,PE_18_2_	15,8,21,8,23	SNP_51245116,SNP_51245116,SNP_51245008,SNP_51245116,SNP_51245008	2.970528e-08,8.907365e-08,4.605024e-09,8.907365e-08,2.881483e-09	5
6	SORBI_3006G214300	DG_34_2_,DG_36_5_,DGDG_34_2_,MG_18_2_,MGDG_36_5_	83,101,130,88,60	SNP_56248368,SNP_56247772,SNP_56247529,SNP_56247581,SNP_56247581	2.992025e-08,7.962184e-10,6.660666e-08,3.856837e-10,2.443555e-08	5
6	SORBI_3006G215500	DGDG_34_2_,MG_12_0_,MG_16_0_,MG_18_2_,PE_24_0_	187,105,105,149,105	SNP_56339057,SNP_56350067,SNP_56350067,SNP_56339317,SNP_56350067	9.270671e-08,4.471976e-08,5.164676e-08,4.863686e-08,1.529692e-08	5
6	SORBI_3006G215600	DGDG_34_2_,MG_12_0_,MG_16_0_,MG_18_2_,PE_24_0_	225,148,148,191,148	SNP_56340422,SNP_56350067,SNP_56350067,SNP_56340422,SNP_56350067	9.270671e-08,4.471976e-08,3.19244e-08,4.863686e-08,1.529692e-08	5
6	SORBI_3006G215650	DGDG_34_2_,MG_12_0_,MG_16_0_,MG_18_2_,PE_24_0_	220,128,131,132,127	SNP_56354273,SNP_56354273,SNP_56354273,SNP_56354273,SNP_56354273	9.270671e-08,4.471976e-08,3.19244e-08,4.863686e-08,1.529692e-08	5
6	SORBI_3006G215700	DGDG_34_2_,MG_12_0_,MG_16_0_,MG_18_2_,PE_24_0_	216,124,127,128,123	SNP_56355013,SNP_56355013,SNP_56355013,SNP_56355013,SNP_56355013	9.270671e-08,4.471976e-08,3.19244e-08,4.863686e-08,1.529692e-08	5
8	SORBI_3008G093500	DG_16_0_,DGTS_34_5_,FA_22_0__amide,TG_24_0_,TG_28_0_	39,68,43,36,41	SNP_43375454,SNP_43355616,SNP_43375449,SNP_43375454,SNP_43363219	1.387308e-49,2.194713e-11,9.686088e-46,6.671802e-42,9.062677e-29	5
9	SORBI_3009G021700	PC_38_2_,TG_44_1_,TG_46_1_,TG_48_3_,TG_50_5_	43,38,23,36,91	SNP_1930405,SNP_1930425,SNP_1930425,SNP_1930405,SNP_1930405	1.187993e-09,2.402735e-10,5.623933e-08,9.691296e-08,1.516695e-10	5
10	SORBI_3010G032300	PS_36_2_,TG_58_5_,TG_58_6_,TG_60_5_,TG_60_6_	90,34,24,37,21	SNP_2568522,SNP_2579469,SNP_2576109,SNP_2573035,SNP_2579469	5.872316e-08,6.102294e-09,4.164071e-10,4.377617e-09,1.083929e-08	5
10	SORBI_3010G032400	PS_36_2_,TG_58_5_,TG_58_6_,TG_60_5_,TG_60_6_	92,46,27,48,29	SNP_2576611,SNP_2579469,SNP_2579954,SNP_2576785,SNP_2579469	5.872316e-08,6.102294e-09,4.164071e-10,4.377617e-09,1.083929e-08	5
10	SORBI_3010G032500	PS_36_2_,TG_58_5_,TG_58_6_,TG_60_5_,TG_60_6_	78,37,20,39,15	SNP_2584143,SNP_2588171,SNP_2588171,SNP_2588171,SNP_2588824	5.872316e-08,6.102294e-09,4.164071e-10,4.377617e-09,1.083929e-08	5
