Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
3	SORBI_3003G169800	PC(18:1_18:2);PC(18:1_20:4);PC(18:2_20:4)	24;19;25	SNP_29151117;SNP_29151218;SNP_29151202	4.753417e-12;1.517886e-18;2.681153e-30	3
3	SORBI_3003G189100	PC(18:1_18:2);PC(18:1_20:4);PC(18:2_20:4)	10;6;6	SNP_50900145;SNP_50888301;SNP_50875238	1.986944e-08;2.880915e-16;2.06115e-16	3
3	SORBI_3003G189200	PC(18:1_18:2);PC(18:1_20:4);PC(18:2_20:4)	36;7;5	SNP_50900145;SNP_50888301;SNP_50900461	1.986944e-08;2.880915e-16;2.06115e-16	3
3	SORBI_3003G189333	PC(18:1_18:2);PC(18:1_20:4);PC(18:2_20:4)	58;8;5	SNP_50900145;SNP_50888301;SNP_50900461	1.986944e-08;2.880915e-16;2.06115e-16	3
3	SORBI_3003G189466	PC(18:1_18:2);PC(18:1_20:4);PC(18:2_20:4)	58;8;5	SNP_50900145;SNP_50888301;SNP_50900461	1.986944e-08;2.880915e-16;2.06115e-16	3
5	SORBI_3005G041700	PC(18:1_18:2);PC(18:1_20:4);PC(18:2_20:4)	21;15;40	SNP_3850986;SNP_3850986;SNP_3848349	5.134263e-12;1.703396e-18;2.931123e-30	3
5	SORBI_3005G041800	PC(18:1_18:2);PC(18:1_20:4);PC(18:2_20:4)	20;12;32	SNP_3867080;SNP_3854196;SNP_3853714	5.134263e-12;1.703396e-18;2.931123e-30	3
5	SORBI_3005G041900	PC(18:1_18:2);PC(18:1_20:4);PC(18:2_20:4)	23;11;20	SNP_3867080;SNP_3866404;SNP_3866404	5.134263e-12;1.703396e-18;2.931123e-30	3
5	SORBI_3005G042000	PC(18:1_18:2);PC(18:1_20:4);PC(18:2_20:4)	24;11;20	SNP_3867080;SNP_3866404;SNP_3866404	5.134263e-12;1.703396e-18;2.931123e-30	3
5	SORBI_3005G042100	PC(18:1_18:2);PC(18:1_20:4);PC(18:2_20:4)	25;11;20	SNP_3867080;SNP_3866404;SNP_3866404	5.134263e-12;1.703396e-18;2.931123e-30	3
